,Longitude,Latitude,PM25,Date
142934,-76.296946,39.410191,4.5,06/18/2022
143258,-76.84611,39.14313,4.5,06/18/2022
143578,-75.797317,39.305021,4.3,06/18/2022
143894,-77.106876,39.114313,4.5,06/18/2022
144266,-76.878333,39.055277,3.3,06/18/2022
144547,-77.720244,39.564178,2.8,06/18/2022
144906,-76.58905,39.3374600009252,2.6,06/18/2022
145262,-73.2396482491513,42.4522993070341,2.4,06/18/2022
145587,-73.110414,42.7022230009403,1.2,06/18/2022
145907,-71.1692346663934,41.6857067155718,3.3,06/18/2022
146463,-71.102290324038,42.7708365765506,1.6,06/18/2022
146829,-72.596689,42.605816,2.1,06/18/2022
147158,-72.5551116962843,42.194380465342,2.1,06/18/2022
147494,-72.5845032277788,42.1202291946886,3.5,06/18/2022
147737,-72.3340786435612,42.2984926849719,1.0,06/18/2022
148059,-71.3069864063041,42.6120846820042,2.2,06/18/2022
148379,-70.963346,42.241229,2.5,06/18/2022
148704,-71.0121294262363,42.0651056363862,5.9,06/18/2022
149078,-71.0971627875593,42.3488727124916,2.7,06/18/2022
149457,-71.0826,42.3295,2.6,06/18/2022
149812,-71.056061,42.325186,3.1,06/18/2022
150136,-71.056061,42.325186,3.0,06/18/2022
150347,-71.026111,42.387222,2.8,06/18/2022
150667,-71.7943222531487,42.2639545825909,6.4,06/18/2022
150972,-86.1485772164682,42.7677855514527,4.0,06/18/2022
151290,-83.8907206820599,43.5713906134716,2.3,06/18/2022
151610,-83.6701590874905,43.0472241917062,5.5,06/18/2022
151973,-84.5627790819822,42.7613867496542,6.6,06/18/2022
152322,-85.5418899211592,42.2780666736986,5.3,06/18/2022
152628,-85.6713387423288,42.9841730428365,5.1,06/18/2022
153034,-83.9465593762963,41.9955676998722,5.6,06/18/2022
153356,-82.79346283166,42.7313941191528,4.9,06/18/2022
153757,-84.8918653238824,44.3105554203758,6.2,06/18/2022
154091,-85.8527340226485,42.8944506594294,4.8,06/18/2022
154408,-82.4562287816265,42.9533362711269,5.1,06/18/2022
154700,-85.9502269219365,46.2888771607497,4.8,06/18/2022
155021,-83.5996022282151,42.2405654781129,6.4,06/18/2022
155311,-83.2082000228824,42.2286201358284,4.5,06/18/2022
155794,-83.1065304278455,42.3027864681917,7.1,06/18/2022
156306,-83.1487538477324,42.3066744897716,7.8,06/18/2022
156624,-83.2661886555648,42.3859980524931,5.7,06/18/2022
156946,-83.1578933,42.2616692009391,5.3,06/18/2022
157208,-83.091943,42.3121580009392,4.4,06/18/2022
157531,-83.129431,42.295824,5.7,06/18/2022
157853,-83.103469,42.312078,5.0,06/18/2022
158165,-82.979793,42.388405,4.5,06/18/2022
158399,-93.207614975211,45.1376795361548,4.2,06/18/2022
158703,-95.846272,46.851811,5.9,06/18/2022
159016,-95.029172,47.8781590009383,3.1,06/18/2022
159339,-92.511722,46.7136940009414,1.0,06/18/2022
159659,-94.60166,47.3844300009398,4.7,06/18/2022
160215,-94.1303,46.396740000942,4.5,06/18/2022
160524,-93.23725,44.7384600009432,3.2,06/18/2022
160821,-93.285803,44.706123,3.8,06/18/2022
161133,-93.254759,44.9652420009432,2.5,06/18/2022
161491,-93.25821,44.9536600009432,4.2,06/18/2022
161859,-91.495574,47.948622,4.3,06/18/2022
162154,-95.81789,44.4438000009431,7.6,06/18/2022
162483,-92.450366,43.996908,3.9,06/18/2022
162916,-93.03587,44.9593900009432,3.2,06/18/2022
163225,-93.03587,44.9593900009432,3.2,06/18/2022
163378,-92.536305,47.5233550009394,4.0,06/18/2022
163699,-92.08936,46.8182600009412,1.1,06/18/2022
