,precipitation,temperature,air pressure,relative humidity,U-wind,V-wind,PM 2.5,longitude,latitude
178,0.0,300.28278,87040.625,9.834267,-0.23559582,6.233573,6.3,-113.9371,36.6869
179,0.0,302.39996,99403.125,70.615524,-0.99536145,0.7911904,20.45,-95.85626,36.27597
180,1.0625,301.82965,96915.625,70.46709,-0.6652833,0.31560445,24.0,-94.11919,36.04877
181,0.0,301.39215,98678.125,76.54521,1.2390136,-2.940255,6.3,-86.66272,34.67466
182,0.0,301.21246,98265.625,74.06084,2.0163572,-2.5799034,4.7,-85.34603,34.36186
183,0.0,301.0484,97565.625,67.69364,2.5554197,-3.0105674,6.8,-84.04301,34.03056
184,0.015625,302.89215,98753.125,62.263954,2.568115,-2.730294,7.55,-83.39679,33.85809
185,0.3828125,303.4312,99890.625,61.553017,1.988037,-1.9939659,9.2,-82.11531,33.49978
186,9.328125,303.14215,101003.125,72.80302,3.170654,2.2599404,9.6,-80.22135,32.92965
187,11.8046875,302.8609,101103.125,73.84989,1.684326,-0.52033305,11.033333333333333,-79.90907,32.8309
188,0.0,289.9312,95290.625,43.076454,3.6823728,-2.2097862,3.4,-120.9901,36.17478
189,0.0,296.02496,100215.625,27.09208,3.5446777,-2.6687706,3.7,-119.9498,36.32751
190,0.0,295.5406,100240.625,26.732704,2.951904,-1.8924034,1.3,-119.6019,36.37585
191,0.0,295.5406,97878.125,26.732704,2.3454587,-1.2332237,9.1,-119.2534,36.42289
192,0.0,288.47028,88990.625,42.209267,3.1188965,-2.1345909,7.9,-118.9044,36.46862
193,0.0,288.4937,75003.125,14.881142,1.0710448,6.0900183,4.2,-118.2049,36.55618
194,0.0,292.28278,83653.125,12.107704,0.6276854,4.1857214,14.2,-117.8544,36.59799
195,2.90625,294.19684,77740.625,43.428017,-3.0607913,5.6359167,7.5,-107.9,37.22562
196,4.0546875,289.6734,76828.125,58.670208,-2.3918457,2.863456,6.4,-107.5418,37.22837
197,0.0,302.9156,97340.625,58.27958,-1.8771974,3.6788857,21.5,-97.20863,36.71644
198,0.0,301.2906,98365.625,78.43584,0.5886229,-2.4724815,5.3,-87.5703,35.17033
199,0.0,301.1187,97340.625,66.93583,2.380615,-2.364083,6.6,-83.93987,34.29917
200,0.03125,303.1109,99865.625,60.232704,2.1179197,-1.8074424,8.4,-82.00478,33.76548
201,7.9296875,303.09528,101090.625,70.78739,1.746826,-0.855294,14.5,-79.47803,32.99264
202,0.0,285.82184,99078.125,92.95927,1.9118651,-5.2342005,4.7,-121.7494,36.34524
203,0.0,295.2437,99428.125,29.43583,3.5524902,-2.645333,2.7,-120.3598,36.55779
204,0.0,295.8062,99590.625,27.459267,3.7194824,-2.535958,4.95,-119.6614,36.65631
205,0.0,295.96246,83240.625,18.076454,0.74975574,6.988456,11.6,-113.2892,37.30504
206,0.0,302.27496,98415.625,67.4749,-0.87817395,2.0675576,20.9,-95.7506,36.83872
207,0.0,303.13434,100065.625,74.4749,-1.2346193,-2.497872,7.2,-88.83137,35.72667
208,0.0,299.53278,97190.625,76.98271,0.8776854,-4.262521,7.1,-85.47976,34.98378
209,0.046875,299.84528,97165.625,74.60771,0.6520995,-3.9763877,7.4,-85.1492,34.90294
210,0.0,288.63434,97840.625,59.474895,5.2019043,-2.145333,3.55,-121.4709,36.67956
211,0.0,294.93903,99690.625,30.928017,4.08374,-2.9461143,2.7,-120.0725,36.88813
212,0.0,294.89215,98678.125,31.670204,3.5593262,-2.6873252,2.6666666666666665,-119.7215,36.93702
213,0.015625,302.46246,98415.625,66.678024,-0.5598146,1.3888466,21.4,-94.991,37.03197
214,0.0,304.2359,100490.625,67.31084,-1.5939943,-2.721505,8.9,-89.42968,36.13685
215,0.0,300.14996,98503.125,79.31865,-0.057861447,-3.1179893,6.5,-87.05382,35.6437
216,0.1953125,302.9937,99853.125,59.771767,1.816162,-2.1687706,6.65,-81.13853,34.10859
217,0.3046875,303.1187,100178.125,63.37333,2.3513181,-1.2644737,7.6,-80.81886,34.01255
218,0.0,288.59528,98828.125,58.99052,3.9724119,0.43572164,2.7,-121.889,36.90335
219,0.0,288.59528,96840.625,58.99052,5.159912,-1.1287315,4.1,-121.5394,36.95905
220,0.0,281.75153,75040.625,24.107704,3.7536619,4.7609167,3.45,-118.3658,37.40143
221,0.0,293.6187,80678.125,17.412392,0.8864745,6.952323,11.2,-112.989,37.89777
222,0.0,302.6109,97203.125,62.83427,-1.7268068,3.5324013,24.05,-97.42488,37.60162
223,0.0,300.1031,98278.125,73.23271,0.06225574,-2.3445518,7.2,-84.61652,35.36188
224,0.0,300.96246,98378.125,60.43583,2.0817869,-2.013497,7.9,-82.3161,34.74895
225,0.0,286.2359,95728.125,64.303024,4.3269043,-3.1638877,2.85,-121.9598,37.18275
226,0.0,293.88434,99890.625,36.326454,3.588623,-2.221505,2.5,-120.9044,37.34688
227,0.0,293.6031,100215.625,38.084267,4.8981934,-4.262521,2.1,-120.5513,37.39897
228,0.0,302.18903,98440.625,68.59209,-0.58129895,1.8331826,28.6,-95.58831,37.68475
229,0.0234375,302.31403,97328.125,71.615524,-0.39086926,0.4650185,13.4,-93.45737,37.40023
230,0.0,299.82965,99453.125,75.68584,-1.3986818,-3.332833,5.949999999999999,-86.86823,36.19118
231,0.0,299.9937,97978.125,71.771774,0.072021365,-2.1287315,5.0,-84.51367,35.63263
232,0.0,295.47028,91553.125,79.982704,1.880615,-4.7293177,6.4,-83.51818,35.37544
233,0.0,301.32965,98878.125,59.21708,1.967529,-2.065255,6.95,-81.87811,34.9237
234,4.640625,302.9234,100765.625,65.02958,2.4821775,-1.0095909,8.3,-79.62376,34.24416
235,0.0,287.14996,97515.625,66.928024,4.327881,-3.160958,4.55,-122.0313,37.46238
236,0.0,289.3531,96415.625,46.334267,5.8796387,-2.2293174,0.0,-121.3251,37.57373
237,0.0,292.19684,99865.625,43.46708,4.159912,-2.482247,6.2,-120.971,37.62744
238,0.0,273.8531,75303.125,50.62333,1.8435057,-1.1101768,4.6,-119.5485,37.82902
239,0.0,273.8531,72678.125,50.62333,4.244873,6.443534,2.5,-119.1915,37.87608
240,0.0,302.83746,98465.625,69.4124,-0.57055676,0.5802529,18.4,-94.10364,37.78182
241,0.0,299.32184,99515.625,75.35771,-2.074463,-3.3699424,5.3,-87.4576,36.61472
242,0.0,299.50153,99290.625,74.5999,-1.2111818,-2.7722862,4.8,-86.77418,36.4652
243,0.0,297.1187,97328.125,78.02958,-0.86743176,-4.061349,4.6,-85.41776,36.15149
244,0.0,298.00153,97115.625,76.45146,0.19799793,-2.5017784,5.3,-84.4099,35.90355
245,0.0,298.32965,97178.125,77.2249,0.11596668,-2.6316612,6.0,-84.0758,35.81852
246,0.2109375,301.59528,99940.625,64.71708,2.6276853,-3.0408409,5.6,-80.14252,34.70821
247,0.0,284.7984,101540.625,95.388954,1.7731932,-0.24103618,4.2,-122.4571,37.68426
248,0.0,288.09528,99215.625,62.20927,6.892334,1.2667763,4.366666666666666,-122.1034,37.74223
249,0.0,288.09528,98465.625,62.20927,4.0339355,-0.7527549,4.05,-121.749,37.79888
250,0.0,291.3609,100915.625,49.138954,4.0300293,-0.7693565,2.0,-121.394,37.85422
251,1.4375,295.9937,79915.625,28.381142,-0.73266613,4.206229,3.9,-108.6641,38.932
252,0.2734375,290.81403,75978.125,41.19364,1.6667479,4.247245,4.1,-104.9763,38.9251
253,0.0,303.7281,93440.625,33.02958,-1.1965333,5.923026,23.0,-99.83379,38.67848
254,0.0,300.03278,100353.125,72.71709,-2.9494631,-2.6472862,5.8,-88.4014,37.10594
255,0.0,298.9312,99553.125,75.31865,-2.713135,-3.5379112,4.8,-87.36558,36.88977
256,0.0,297.82965,97190.625,76.7249,0.64233387,-1.6892784,7.2,-83.96973,36.08914
257,0.015625,293.0562,90153.125,81.77177,2.6940916,-4.630685,4.9,-82.63756,35.73538
258,0.0,300.89215,98690.625,59.334267,2.20874,-2.9295127,5.9,-80.99467,35.26719
259,0.0,300.75934,98990.625,58.34989,2.418701,-2.752755,5.6,-80.66915,35.17016
260,0.8515625,300.56403,100890.625,83.295204,2.1989744,-1.0379112,7.5,-77.78699,34.24751
261,0.0,287.56403,100915.625,73.13896,3.918701,-1.2908409,6.5,-122.5315,37.96398
262,0.0,288.1812,100253.125,67.5999,4.4606934,1.1036904,3.766666666666667,-122.1762,38.02228
263,0.0,289.75934,96815.625,54.21708,1.5681151,0.4708779,1.4,-120.7483,38.24221
264,0.0,298.07965,99215.625,75.701454,-1.8879396,-3.0330284,4.45,-86.24017,36.93635
265,0.0,293.09528,90853.125,79.52177,2.8630369,-4.056466,5.3,-82.19335,35.91235
266,0.0,299.40778,97053.125,58.678017,2.1901853,-2.70588,4.15,-81.53262,35.72519
267,0.0,300.40778,99553.125,64.18583,2.1804197,-3.589669,7.4,-79.8989,35.23741
268,3.9296875,302.58746,100540.625,62.146767,2.7897947,-3.027169,7.5,-78.93139,34.93141
269,0.0625,290.81403,100390.625,50.88114,6.52124,1.3136513,0.6,-121.8921,38.35984
270,0.046875,290.81403,101028.125,50.88114,3.7145994,1.3868935,4.8,-121.5338,38.41581
271,0.0,291.50934,101028.125,48.545204,3.7214353,1.3732216,0.8,-121.1749,38.47044
272,0.21875,294.3609,78803.125,37.857704,0.6862792,5.1115026,5.4,-104.9561,39.49909
273,0.0,302.39215,98453.125,71.56865,-1.6984864,2.019706,20.6,-94.63853,38.72453
274,0.0078125,296.03278,96215.625,78.138954,-0.56274426,-3.685372,6.5,-83.75475,36.63083
275,0.0,299.78278,98815.625,59.826454,2.5222166,-2.9187706,5.5,-80.42828,35.70175
276,0.0625,286.4937,97278.125,65.7249,6.0739746,-1.8758018,3.0,-122.6825,38.52403
277,0.0234375,291.14996,100803.125,49.19364,2.909912,1.6583779,2.7,-121.6048,38.69691
278,0.03125,291.64996,100115.625,47.584267,2.861084,1.3517373,2.4,-121.2441,38.75186
279,0.0078125,279.63434,78990.625,46.740517,4.6901855,2.3907998,1.2,-119.795,38.9581
